timestamp,x,y,z
1516786566260409,0.271484,1.28223,1.55078
1516786566281682,3.30859,1.77734,-0.58252
1516786566297508,2.81348,0.395508,-0.697754
1516786566320569,0.223145,-2.26367,0.720215
1516786566341850,0.418945,-1.93066,0.893555
1516786566357668,0.553711,-1.28906,0.82373
1516786566379727,0.337402,-0.090332,0.504883
1516786566400783,0.152832,0.943848,0.399414
1516786566417827,0.194824,0.924316,0.788086
1516786566441893,0.285645,-0.0336914,0.819824
1516786566460941,0.305176,-0.489746,0.897461
1516786566477987,0.279297,-0.337402,0.918945
1516786566500047,0.206055,-0.0756836,0.955078
1516786566521103,0.164551,0.0703125,0.936035
1516786566537174,0.135742,0.0966797,0.916504
1516786566559203,0.13916,0.105957,0.930664
1516786566582270,0.215332,-0.00634766,0.938477
1516786566597306,0.249023,-0.0908203,0.973145
1516786566619365,0.20166,-0.0395508,0.971191
1516786566641422,0.246094,-0.0302734,0.938477
1516786566656463,0.264648,-0.0756836,0.906738
1516786566679530,0.255371,-0.081543,0.931152
1516786566701583,0.242188,-0.0410156,0.928223
1516786566724650,0.222168,-0.0390625,0.931641
1516786566739685,0.202637,-0.0976563,0.931641
1516786566761743,0.226563,-0.10498,0.967285
1516786566776783,0.238281,-0.0463867,0.958008
1516786566799072,0.20752,-0.0180664,0.962891
1516786566822122,0.205566,-0.0454102,0.925781
1516786566837170,0.213867,-0.104004,0.929688
1516786566859218,0.234375,-0.0913086,0.947266
1516786566875044,0.213379,-0.0634766,0.953125
1516786566898105,0.230957,-0.0668945,0.956055
1516786566919311,0.221191,-0.0395508,0.953613
1516786566942352,0.231445,-0.107422,0.948242
1516786566957371,0.256836,-0.143066,0.932129
1516786566979320,0.23877,-0.102051,0.944336
1516786567002384,0.228516,-0.0488281,0.938477
1516786567018425,0.234375,-0.000976563,0.909668
1516786567039480,0.25293,-0.00488281,0.931641
1516786567061539,0.267578,0.0297852,0.918945
1516786567078584,0.284668,0.0297852,0.966309
1516786567099642,0.251465,-0.0400391,0.991699
1516786567121700,0.214355,0.00341797,0.980469
1516786567138746,0.188965,-0.027832,0.963867
1516786567159840,0.167969,-0.0957031,0.958984
1516786567181891,0.179199,-0.126465,1.03516
1516786567205925,0.15918,-0.11377,0.970703
1516786567218960,0.157715,-0.146973,0.971191
1516786567235006,0.14209,-0.142578,1.04004
1516786567258085,0.161133,-0.180664,1.02051
1516786567279152,0.220215,-0.119629,1.01953
1516786567295162,0.209961,-0.0644531,1.06104
1516786567318222,0.17334,-0.0585938,1.02295
1516786567339483,0.151367,-0.0625,0.941406
1516786567355322,0.17041,-0.104004,0.948242
1516786567378383,0.178223,-0.131348,0.998535
1516786567399646,0.141602,-0.0429688,0.97168
1516786567415482,0.129883,0.0419922,0.919434
1516786567438544,0.161621,-0.0356445,1.00146
1516786567459839,0.226074,-0.00537109,1.06055
1516786567475642,0.0410156,-0.311523,0.931641
1516786567498737,0.111328,-0.16748,0.841309
1516786567519763,0.154785,-0.194824,0.932129
1516786567534800,0.123535,0.0380859,0.82666
1516786567557866,0.144043,0.14502,1.0542
1516786567579054,0.0932617,0.223145,1.17432
1516786567594958,-0.0253906,0.163574,0.754395
1516786567618020,0.0761719,0.195801,1.04932
1516786567639077,0.15625,-0.20752,0.937988
1516786567655120,0.146973,-0.359863,0.896973
1516786567678188,0.0200195,-0.185547,0.90332
1516786567699382,0.0375977,-0.046875,0.868652
1516786567715278,0.111816,-0.0776367,0.964355
1516786567737427,0.102539,0.0634766,0.969238
1516786567759542,0.104492,0.188477,1.14014
1516786567775439,0.0463867,0.148438,1.02783
1516786567797496,0.0361328,0.0708008,0.988281
1516786567826704,0.0390625,-0.0712891,0.960938
1516786567835624,0.0620117,-0.0703125,0.953613
1516786567857658,0.0737305,-0.0605469,0.962891
1516786567879858,0.0825195,-0.0107422,0.980957
1516786567895783,0.0883789,0.0634766,0.972168
1516786567918820,0.105469,0.0585938,0.949219
1516786567940880,0.111816,0.0234375,0.97998
1516786567954915,0.0830078,-0.0112305,0.994141
1516786567977977,0.0683594,-0.0341797,0.963379
1516786568001041,0.0629883,0.00390625,0.966309
1516786568015077,0.0791016,-0.0151367,0.97998
1516786568038186,0.11084,0.0625,0.98291
1516786568061200,0.0874023,0.0380859,0.955078
1516786568075236,0.0644531,-0.0161133,0.976074
1516786568105317,0.0678711,-0.0332031,0.965332
1516786568120357,0.102539,-0.0244141,0.965332
1516786568143418,0.0981445,0.00390625,0.975098
1516786568157456,0.0712891,0.00292969,0.966797
1516786568180534,0.0834961,0.0253906,0.93457
1516786568195555,0.0961914,0.0639648,0.916504
1516786568217616,0.0449219,0.0292969,0.92041
1516786568240675,0.0473633,-0.0170898,0.935547
1516786568261731,0.140137,-0.0131836,0.882324
1516786568277774,0.232422,0.0649414,0.828125
1516786568300856,0.197266,0.0800781,0.787109
1516786568321921,0.0874023,-0.00732422,0.777832
1516786568337936,0.104492,-0.102051,0.746094
1516786568360996,0.166016,-0.0708008,0.819336
1516786568382191,-0.0224609,-0.188965,0.967773
1516786568397237,-0.196777,-0.283691,1.10303
1516786568421157,-0.190918,-0.308105,1.08301
1516786568442442,-0.0893555,-0.255859,0.989258
1516786568457369,-0.0639648,-0.17334,0.998047
1516786568480460,-0.105957,-0.171875,0.925781
1516786568501375,-0.159668,-0.266602,1.00732
1516786568517431,-0.188965,-0.299805,1.09521
1516786568540490,-0.236328,-0.301758,1.11963
1516786568561530,-0.228516,-0.208008,1.08203
1516786568577572,-0.200195,-0.172363,1.06494
1516786568600633,-0.183105,-0.213379,1.04834
1516786568621721,-0.169922,-0.272949,1.0332
1516786568637766,-0.180176,-0.209961,1.01514
1516786568661026,-0.234863,-0.20166,0.989258
1516786568681987,-0.242676,-0.205078,0.973145
1516786568697036,-0.166504,-0.219727,0.967773
1516786568711072,-0.146973,-0.147949,0.977051
1516786568734014,-0.213867,-0.0805664,0.867676
1516786568757202,-0.200684,-0.150391,0.893555
1516786568771230,-0.0561523,-0.259766,0.946777
1516786568794194,-0.00732422,-0.393066,0.867188
1516786568817209,-0.255371,-0.246094,0.890625
1516786568831459,-0.244629,-0.265137,0.819824
1516786568853306,-0.034668,-0.347656,0.906738
1516786568876368,-0.0395508,-0.357422,0.987793
1516786568891407,-0.019043,-0.296387,1.0332
1516786568913466,-0.270508,-0.197266,1.14844
1516786568936528,-0.496582,0.081543,0.853516
1516786568951633,-0.30127,-0.0244141,0.916504
1516786568973627,0.0341797,-0.375488,1.04834
1516786568996688,-0.307617,-0.378418,0.930176
1516786569010725,-0.328125,-0.416016,0.843262
1516786569033819,-0.183105,-0.350098,0.90332
1516786569056985,-0.153809,-0.254883,0.933105
1516786569070970,-0.157227,-0.262695,0.998047
1516786569094177,-0.23291,-0.212891,1.04492
1516786569117225,-0.310547,-0.173828,0.911133
1516786569131255,-0.309082,-0.256836,0.902832
1516786569154107,-0.22168,-0.344238,0.947754
1516786569177167,-0.166992,-0.373535,0.945801
1516786569191206,-0.197754,-0.335938,0.915527
1516786569215302,-0.252441,-0.29541,0.895996
1516786569236326,-0.259766,-0.305176,0.894043
1516786569251599,-0.247559,-0.306641,0.915527
1516786569273422,-0.222168,-0.296875,0.920898
1516786569288462,-0.196777,-0.297852,0.935547
1516786569319545,-0.211426,-0.32666,0.932617
1516786569333617,-0.21875,-0.312988,0.935059
1516786569348624,-0.211914,-0.295898,0.916992
1516786569370683,-0.196289,-0.293457,0.92334
1516786569393775,-0.189453,-0.319824,0.90918
1516786569408939,-0.191895,-0.318848,0.91748
1516786569430842,-0.183594,-0.316406,0.929688
1516786569453944,-0.172852,-0.300781,0.932129
1516786569468947,-0.175293,-0.293457,0.911621
1516786569491165,-0.169922,-0.30127,0.938477
1516786569514276,-0.169922,-0.318848,0.94873
1516786569529277,-0.16748,-0.332031,0.939941
1516786569551307,-0.181152,-0.331055,0.921387
1516786569574283,-0.175781,-0.311523,0.911621
1516786569589262,-0.180176,-0.29834,0.919434
1516786569611460,-0.178711,-0.312988,0.936523
1516786569633414,-0.161621,-0.310547,0.931152
1516786569650427,-0.171875,-0.326172,0.924316
1516786569671626,-0.182129,-0.338867,0.924316
1516786569693686,-0.178223,-0.327637,0.902832
1516786569710670,-0.18457,-0.304199,0.912598
1516786569731751,-0.205566,-0.3125,0.927246
1516786569753702,-0.196289,-0.32373,0.935547
1516786569769750,-0.18457,-0.321777,0.919434
1516786569791802,-0.193848,-0.311523,0.90332
1516786569813883,-0.193359,-0.318359,0.903809
1516786569829941,-0.181152,-0.320801,0.908203
1516786569850959,-0.163574,-0.334961,0.90918
1516786569874247,-0.158203,-0.354492,0.889648
1516786569890064,-0.173828,-0.350586,0.897949
1516786569911337,-0.179688,-0.348633,0.88623
1516786569934259,-0.146484,-0.352539,0.888184
1516786569950225,-0.114258,-0.358398,0.890137
1516786569971311,-0.121582,-0.372559,0.891113
1516786569993495,-0.149414,-0.37207,0.948242
1516786570010383,-0.171875,-0.331543,0.950195
1516786570031591,-0.22168,-0.287109,0.928223
1516786570053497,-0.25,-0.278809,0.955566
1516786570070545,-0.22168,-0.30127,0.930664
1516786570091738,-0.240234,-0.23291,0.951172
1516786570113659,-0.269531,-0.199219,0.870605
1516786570129910,-0.27832,-0.169434,0.868164
1516786570154794,-0.291992,-0.260254,0.980469
1516786570173842,-0.198242,-0.324219,1.01514
1516786570191866,-0.0791016,-0.348633,0.962402
1516786570211134,-0.333984,-0.29834,0.956055
1516786570234201,-0.350586,-0.34668,0.825195
1516786570250019,-0.195313,-0.353027,0.869141
1516786570271077,-0.212402,-0.212891,0.899902
1516786570295141,-0.0986328,-0.271973,1.03418
1516786570310186,-0.304688,-0.316895,1.04639
1516786570331238,-0.557129,0.00878906,0.901855
1516786570353297,-0.417969,0.0708008,0.944336
1516786570370342,-0.157227,-0.287109,1.04443
